name,group,kind,nnz,rows,cols,link
gre_115,HB,Directed Weighted Graph,421,115,115,https://sparse.tamu.edu/MM/HB/gre_115.tar.gz
gre_185,HB,Directed Weighted Graph,975,185,185,https://sparse.tamu.edu/MM/HB/gre_185.tar.gz
gre_216a,HB,Directed Weighted Graph,812,216,216,https://sparse.tamu.edu/MM/HB/gre_216a.tar.gz
gre_216b,HB,Directed Weighted Graph,812,216,216,https://sparse.tamu.edu/MM/HB/gre_216b.tar.gz
gre_343,HB,Directed Weighted Graph,1310,343,343,https://sparse.tamu.edu/MM/HB/gre_343.tar.gz
gre_512,HB,Directed Weighted Graph,1976,512,512,https://sparse.tamu.edu/MM/HB/gre_512.tar.gz
hor_131,HB,Directed Weighted Graph,4182,434,434,https://sparse.tamu.edu/MM/HB/hor_131.tar.gz
ibm32,HB,Directed Graph,126,32,32,https://sparse.tamu.edu/MM/HB/ibm32.tar.gz
illc1033,HB,Least Squares Problem,4719,1033,320,https://sparse.tamu.edu/MM/HB/illc1033.tar.gz
illc1850,HB,Least Squares Problem,8636,1850,712,https://sparse.tamu.edu/MM/HB/illc1850.tar.gz
impcol_a,HB,Chemical Process Simulation Problem,572,207,207,https://sparse.tamu.edu/MM/HB/impcol_a.tar.gz
impcol_b,HB,Chemical Process Simulation Problem,271,59,59,https://sparse.tamu.edu/MM/HB/impcol_b.tar.gz
impcol_c,HB,Chemical Process Simulation Problem,400,137,137,https://sparse.tamu.edu/MM/HB/impcol_c.tar.gz
impcol_d,HB,Chemical Process Simulation Problem,1255,425,425,https://sparse.tamu.edu/MM/HB/impcol_d.tar.gz
impcol_e,HB,Chemical Process Simulation Problem,1303,225,225,https://sparse.tamu.edu/MM/HB/impcol_e.tar.gz
jagmesh1,HB,2D/3D Problem,6264,936,936,https://sparse.tamu.edu/MM/HB/jagmesh1.tar.gz
jagmesh2,HB,2D/3D Problem,6865,1009,1009,https://sparse.tamu.edu/MM/HB/jagmesh2.tar.gz
jagmesh3,HB,2D/3D Problem,7361,1089,1089,https://sparse.tamu.edu/MM/HB/jagmesh3.tar.gz
jagmesh4,HB,2D/3D Problem,9504,1440,1440,https://sparse.tamu.edu/MM/HB/jagmesh4.tar.gz
jagmesh5,HB,2D/3D Problem,7750,1180,1180,https://sparse.tamu.edu/MM/HB/jagmesh5.tar.gz
jagmesh6,HB,2D/3D Problem,8993,1377,1377,https://sparse.tamu.edu/MM/HB/jagmesh6.tar.gz
jagmesh7,HB,2D/3D Problem,7450,1138,1138,https://sparse.tamu.edu/MM/HB/jagmesh7.tar.gz
jagmesh8,HB,2D/3D Problem,7465,1141,1141,https://sparse.tamu.edu/MM/HB/jagmesh8.tar.gz
jagmesh9,HB,2D/3D Problem,9101,1349,1349,https://sparse.tamu.edu/MM/HB/jagmesh9.tar.gz
jgl009,HB,Counter Example Problem,50,9,9,https://sparse.tamu.edu/MM/HB/jgl009.tar.gz
jgl011,HB,Counter Example Problem,76,11,11,https://sparse.tamu.edu/MM/HB/jgl011.tar.gz
jpwh_991,HB,Semiconductor Device Problem,6027,991,991,https://sparse.tamu.edu/MM/HB/jpwh_991.tar.gz
lns_131,HB,Computational Fluid Dynamics Problem,536,131,131,https://sparse.tamu.edu/MM/HB/lns_131.tar.gz
lns_3937,HB,Computational Fluid Dynamics Problem,25407,3937,3937,https://sparse.tamu.edu/MM/HB/lns_3937.tar.gz
lns_511,HB,Computational Fluid Dynamics Problem,2796,511,511,https://sparse.tamu.edu/MM/HB/lns_511.tar.gz
lnsp3937,HB,Computational Fluid Dynamics Problem,25407,3937,3937,https://sparse.tamu.edu/MM/HB/lnsp3937.tar.gz
lnsp_131,HB,Computational Fluid Dynamics Problem,536,131,131,https://sparse.tamu.edu/MM/HB/lnsp_131.tar.gz
lnsp_511,HB,Computational Fluid Dynamics Problem,2796,511,511,https://sparse.tamu.edu/MM/HB/lnsp_511.tar.gz
lshp1009,HB,Duplicate Thermal Problem,6865,1009,1009,https://sparse.tamu.edu/MM/HB/lshp1009.tar.gz
lshp1270,HB,Thermal Problem,8668,1270,1270,https://sparse.tamu.edu/MM/HB/lshp1270.tar.gz
lshp1561,HB,Thermal Problem,10681,1561,1561,https://sparse.tamu.edu/MM/HB/lshp1561.tar.gz
lshp1882,HB,Thermal Problem,12904,1882,1882,https://sparse.tamu.edu/MM/HB/lshp1882.tar.gz
lshp2233,HB,Thermal Problem,15337,2233,2233,https://sparse.tamu.edu/MM/HB/lshp2233.tar.gz
lshp2614,HB,Thermal Problem,17980,2614,2614,https://sparse.tamu.edu/MM/HB/lshp2614.tar.gz
lshp3025,HB,Thermal Problem,20833,3025,3025,https://sparse.tamu.edu/MM/HB/lshp3025.tar.gz
lshp3466,HB,Thermal Problem,23896,3466,3466,https://sparse.tamu.edu/MM/HB/lshp3466.tar.gz
lshp_265,HB,Thermal Problem,1753,265,265,https://sparse.tamu.edu/MM/HB/lshp_265.tar.gz
lshp_406,HB,Thermal Problem,2716,406,406,https://sparse.tamu.edu/MM/HB/lshp_406.tar.gz
lshp_577,HB,Thermal Problem,3889,577,577,https://sparse.tamu.edu/MM/HB/lshp_577.tar.gz
lshp_778,HB,Thermal Problem,5272,778,778,https://sparse.tamu.edu/MM/HB/lshp_778.tar.gz
lund_a,HB,Structural Problem,2449,147,147,https://sparse.tamu.edu/MM/HB/lund_a.tar.gz
lund_b,HB,Structural Problem,2441,147,147,https://sparse.tamu.edu/MM/HB/lund_b.tar.gz
mahindas,HB,Economic Problem,7682,1258,1258,https://sparse.tamu.edu/MM/HB/mahindas.tar.gz
mbeacxc,HB,Economic Problem,49920,496,496,https://sparse.tamu.edu/MM/HB/mbeacxc.tar.gz
mbeaflw,HB,Economic Problem,49920,496,496,https://sparse.tamu.edu/MM/HB/mbeaflw.tar.gz
mbeause,HB,Economic Problem,41063,496,496,https://sparse.tamu.edu/MM/HB/mbeause.tar.gz
mcca,HB,2D/3D Problem,2659,180,180,https://sparse.tamu.edu/MM/HB/mcca.tar.gz
mcfe,HB,2D/3D Problem,24382,765,765,https://sparse.tamu.edu/MM/HB/mcfe.tar.gz
nnc1374,HB,2D/3D Problem,8588,1374,1374,https://sparse.tamu.edu/MM/HB/nnc1374.tar.gz
nnc261,HB,2D/3D Problem,1500,261,261,https://sparse.tamu.edu/MM/HB/nnc261.tar.gz
nnc666,HB,2D/3D Problem,4032,666,666,https://sparse.tamu.edu/MM/HB/nnc666.tar.gz
nos1,HB,Structural Problem,1017,237,237,https://sparse.tamu.edu/MM/HB/nos1.tar.gz
nos2,HB,Structural Problem,4137,957,957,https://sparse.tamu.edu/MM/HB/nos2.tar.gz
nos3,HB,Structural Problem,15844,960,960,https://sparse.tamu.edu/MM/HB/nos3.tar.gz
nos4,HB,Structural Problem,594,100,100,https://sparse.tamu.edu/MM/HB/nos4.tar.gz
nos5,HB,Structural Problem,5172,468,468,https://sparse.tamu.edu/MM/HB/nos5.tar.gz
nos6,HB,2D/3D Problem,3255,675,675,https://sparse.tamu.edu/MM/HB/nos6.tar.gz
nos7,HB,2D/3D Problem,4617,729,729,https://sparse.tamu.edu/MM/HB/nos7.tar.gz
orani678,HB,Economic Problem,90158,2529,2529,https://sparse.tamu.edu/MM/HB/orani678.tar.gz
orsirr_1,HB,Computational Fluid Dynamics Problem,6858,1030,1030,https://sparse.tamu.edu/MM/HB/orsirr_1.tar.gz
orsirr_2,HB,Computational Fluid Dynamics Problem,5970,886,886,https://sparse.tamu.edu/MM/HB/orsirr_2.tar.gz
orsreg_1,HB,Computational Fluid Dynamics Problem,14133,2205,2205,https://sparse.tamu.edu/MM/HB/orsreg_1.tar.gz
plat1919,HB,2D/3D Problem,32399,1919,1919,https://sparse.tamu.edu/MM/HB/plat1919.tar.gz
plat362,HB,2D/3D Problem,5786,362,362,https://sparse.tamu.edu/MM/HB/plat362.tar.gz
plsk1919,HB,2D/3D Problem,9662,1919,1919,https://sparse.tamu.edu/MM/HB/plsk1919.tar.gz
plskz362,HB,2D/3D Problem,1760,362,362,https://sparse.tamu.edu/MM/HB/plskz362.tar.gz
pores_1,HB,Computational Fluid Dynamics Problem,180,30,30,https://sparse.tamu.edu/MM/HB/pores_1.tar.gz
pores_2,HB,Computational Fluid Dynamics Problem,9613,1224,1224,https://sparse.tamu.edu/MM/HB/pores_2.tar.gz
pores_3,HB,Computational Fluid Dynamics Problem,3474,532,532,https://sparse.tamu.edu/MM/HB/pores_3.tar.gz
psmigr_1,HB,Economic Problem,543160,3140,3140,https://sparse.tamu.edu/MM/HB/psmigr_1.tar.gz
psmigr_2,HB,Economic Problem,540022,3140,3140,https://sparse.tamu.edu/MM/HB/psmigr_2.tar.gz
psmigr_3,HB,Economic Problem,543160,3140,3140,https://sparse.tamu.edu/MM/HB/psmigr_3.tar.gz
rgg010,HB,Counter Example Problem,76,10,10,https://sparse.tamu.edu/MM/HB/rgg010.tar.gz
saylr1,HB,Computational Fluid Dynamics Problem,1128,238,238,https://sparse.tamu.edu/MM/HB/saylr1.tar.gz
saylr3,HB,Computational Fluid Dynamics Problem,3750,1000,1000,https://sparse.tamu.edu/MM/HB/saylr3.tar.gz
saylr4,HB,Computational Fluid Dynamics Problem,22316,3564,3564,https://sparse.tamu.edu/MM/HB/saylr4.tar.gz
sherman1,HB,Computational Fluid Dynamics Problem,3750,1000,1000,https://sparse.tamu.edu/MM/HB/sherman1.tar.gz
sherman2,HB,Computational Fluid Dynamics Problem,23094,1080,1080,https://sparse.tamu.edu/MM/HB/sherman2.tar.gz
sherman3,HB,Computational Fluid Dynamics Problem,20033,5005,5005,https://sparse.tamu.edu/MM/HB/sherman3.tar.gz
sherman4,HB,Computational Fluid Dynamics Problem,3786,1104,1104,https://sparse.tamu.edu/MM/HB/sherman4.tar.gz
sherman5,HB,Computational Fluid Dynamics Problem,20793,3312,3312,https://sparse.tamu.edu/MM/HB/sherman5.tar.gz
